id,gametask_name,AppID,Name
93,Partisans1941,1227530,Partisans 1941
94,AzurLaneCrosswave,1150080,Azur Lane Crosswave
95,Redfall,1294810,Redfall
96,CrimeBossRockayCity,2933080,Crime Boss: Rockay City
97,TheDarkPicturesAnthologyLittleHope,1194630,The Dark Pictures Anthology: Little Hope
98,SenuasSagaHellbladeII,2461850,Senua’s Saga: Hellblade II
99,DeadIsland2,934700,Dead Island 2
100,THEKINGOFFIGHTERSXV,1498570,THE KING OF FIGHTERS XV
101,TheDarkPicturesAnthologyHouseofAshes,1281590,The Dark Pictures Anthology: House of Ashes
102,MarvelsMidnightSuns,368260,Marvel's Midnight Suns
103,LikeADragonIshin,1805480,Like a Dragon: Ishin!
104,MARVELVSCAPCOMINFINITE,493840,Marvel vs. Capcom: Infinite
105,MechWarrior5Mercenaries,784080,MechWarrior 5: Mercenaries
106,TheQuarry,1577120,The Quarry
107,BattlefleetGothicArmadaII,363680,Battlefleet Gothic: Armada
108,XERA,625340,XERA: Survival
109,DestroyAllHumans2Reprobed,1266700,Destroy All Humans! 2 - Reprobed
110,RIDE4,1259980,RIDE 4
111,EvilWest,1065310,Evil West
112,LastOasis,903950,Last Oasis
113,SpaceHulkDeathwingEnhancedEdition,816090,Space Hulk: Deathwing Enhanced Edition
114,TheFront,2285150,The Front
115,BeyondtheWire,1058650,Beyond The Wire
116,StrategicMindThePacific,991810,Strategic Mind: The Pacific
117,GrandEmpriseTimeTravelSurvival,2236300,Grand Emprise: Time Travel Survival
118,PhantomDoctrine,559100,Phantom Doctrine
119,Trepang2,1164940,Trepang2
120,ONEPIECEODYSSEY,814000,ONE PIECE ODYSSEY
121,TerminatorResistance,954740,Terminator: Resistance
122,Automation,1698690,Automation
123,TCSM,1433140,The Texas Chain Saw Massacre
124,FadeToSilence,706020,Fade to Silence
125,DrugDealerSimulator2,1708850,Drug Dealer Simulator 2
126,SherlockHolmesTheAwakened,1949030,Sherlock Holmes The Awakened
127,DeathlyStillnessGame,1727650,死寂（Deathly Stillness）
128,ChainedTogether,2567870,Chained Together
129,ChooChooCharles,1766740,Choo-Choo Charles
130,Demonologist,1929610,Demonologist
131,Pacify,967050,Pacify
132,LastTrainHome,1469610,Last Train Home
133,KenaBridgeofSpirits,1954200,Kena: Bridge of Spirits
134,SherlockHolmesTheDevilsDaughter,350640,Sherlock Holmes: The Devil's Daughter
135,Maneater,629820,Maneater
136,Sifu,2138710,Sifu
137,MidnightGhostHunt,915810,Midnight Ghost Hunt
138,ProjectWingman,895870,Project Wingman
139,Palia,2707930,Palia
140,Visage,594330,Visage
141,WewhoareabouttoDie,973230,We Who Are About To Die
142,Hydroneer,1106840,Hydroneer
143,DarkDeception,332950,Dark Deception
144,Thymesia,1343240,Thymesia
145,XComEnemyUnknown,200510,XCOM: Enemy Unknown
146,BatmanArkhamCityGOTY,57400,Batman: Arkham City
147,Boltgun,2005010,"Warhammer 40,000: Boltgun"
148,POSTAL4,707030,POSTAL 4: No Regerts
149,BrothersATaleofTwoSons,225080,Brothers - A Tale of Two Sons
150,DaemonXMachina,1167450,DAEMON X MACHINA
151,RoboQuest,692890,Roboquest
152,TheCrust,1465470,The Crust
153,CrabChampions,774801,Crab Champions
154,OutlawsoftheOldWest,840800,Outlaws of the Old West
155,LandoftheVikings,1981570,Land of the Vikings
156,TheMeanGreensPlasticWarfare,360940,The Mean Greens - Plastic Warfare
157,CaptainSpirit,845070,The Awesome Adventures of Captain Spirit
158,TheBlackoutClub,599080,The Blackout Club
159,GolfIt,571740,Golf It!
160,BulletstormFullClipEdition,501590,Bulletstorm: Full Clip Edition
161,BatmanArkhamAsylumGOTY,35010,Batman: Arkham Asylum Game of the Year Edition
162,VALKYRIEELYSIUM,1963210,VALKYRIE ELYSIUM
163,KHOLAT,343710,Kholat
164,MurderedSoulSuspect,233290,Murdered: Soul Suspect
165,Farlight84,1928420,Farlight 84
166,Earthfall,415590,Earthfall
167,InVerbisVirtus,307860,In Verbis Virtus
168,VEILEDEXPERTS,1934780,VEILED EXPERTS
169,DeceiveInc,820520,Deceive Inc.
170,AvenColony,484900,Aven Colony
171,BlairWitch,1092660,Blair Witch
172,MeetYourMaker,1194810,Meet Your Maker
173,OmegaStrikers,1869590,Omega Strikers
174,SwordWithSauce,581630,Sword With Sauce
175,Superfuse,1770080,Superfuse
176,MIR4,1623660,MIR4
177,EnGarde,1654660,En Garde!
178,MoonsofMadness,1012840,Moons of Madness
179,ASYLUM,230210,ASYLUM
195,HYPERCHARGE Unboxed,523660,HYPERCHARGE: Unboxed
196,Junkyard Simulator,671970,Junkyard Simulator
197,Assetto Corsa Competizione,805550,Assetto Corsa Competizione
198,HyperParasite,838110,HyperParasite
199,Little Nightmares II,860510,Little Nightmares II
200,Cepheus Protocol,979640,Cepheus Protocol
201,Police Shootout,1279240,Police Shootout
202,Hello Neighbor 2,1321680,Hello Neighbor 2
203,Train Life A Railway Simulator,1330660,Train Life: A Railway Simulator
204,CRISIS CORE CFINAL FANTASY VIIC REUNION,1608070,CRISIS CORE –FINAL FANTASY VII– REUNION
205,RIDE 5,1650010,RIDE 5
206,Moon Mystery,1933840,Moon Mystery
207,Train Sim World03 3,1944790,Train Sim World® 3
208,Enotria The Last Song,2102450,Enotria: The Last Song
209,Shoulders of Giants Ultimate,2283880,Shoulders of Giants: Ultimate
210,Pirates Journey,2099670,Pirates Journey
211,MotoGP6423,2100160,MotoGP™23
212,REMNANT II03,1282100,Remnant II
213,GYLT,2206210,GYLT
214,DRAGON BALL Sparking ZERO,1790600,DRAGON BALL: Sparking! ZERO
215,Retail Company Simulator,3089130,Retail Company Simulator
216,Ultra Age,1683100,Ultra Age
217,HARVESTELLA,1816300,HARVESTELLA
218,Fae Farm,2230110,Fae Farm
219,DeathSprint 66,1273560,DeathSprint 66
220,BEAST False Prophet,2218680,Interregnum: False Prophet
221,Beat Hazard 3,1493520,Beat Hazard 3
222,Tails Noir,1283410,Tails of Iron
223,Stray Souls,1807210,Stray Souls
224,KINGDOM HEARTS III  Re Mind DLC,2552450,KINGDOM HEARTS III + Re Mind (DLC)
225,Trials of Mana,924980,Trials of Mana
226,No One Survived,1963370,No One Survived
227,Still Wakes the Deep,1622910,Still Wakes the Deep
228,First Dwarf,1714900,First Dwarf
229,Gori Cuddly Carnage,1299690,Gori: Cuddly Carnage
230,Ship Graveyard Simulator 2,2201940,Ship Graveyard Simulator 2
231,Backrooms Escape Together,2141730,Backrooms: Escape Together
232,Immortals of Aveum64,2009100,Immortals of Aveum™
233,Outcast  A New Beginning,1013140,Outcast - A New Beginning
234,SpongeBob SquarePants The Cosmic Shake,1282150,SpongeBob SquarePants: The Cosmic Shake
235,Stray Blade,1621990,Stray Blade
236,Borderlands Game of the Year Enhanced,729040,Borderlands Game of the Year Enhanced
237,Bum Simulator,855740,Bum Simulator
238,EVERSPACE64,396750,EVERSPACE™
239,Man in the Dark,2694920,Man in the Dark
240,QUBE 2,359100,Q.U.B.E. 2
241,The Invincible,731040,The Invincible
242,A House of Thieves,1506760,A House of Thieves
243,Industry Giant 40,1129570,Industry Giant 4.0
244,Aliens Dark Descent,1150440,Aliens: Dark Descent
245,Witchfire,3156770,Witchfire
246,Empire of the Ants,2287330,Empire of the Ants
247,The Talos Principle 2,835960,The Talos Principle 2
248,Metro Awakening,2669410,Metro Awakening
249,Under The Waves,1975440,Under The Waves
250,Way of the Hunter,1288320,Way of the Hunter
251,Park Beyond,1368130,Park Beyond
252,Lunch Lady,1571440,Lunch Lady
253,INDIKA,1373960,INDIKA
254,INDUSTRIA,1172650,INDUSTRIA
255,Blood Bowl 3,1016950,Blood Bowl 3
256,Granny Remake,2110820,Granny Remake
257,The Seven Awakenings I Randall,2259290,The Seven Awakenings: I Randall
258,Jonesville,2855500,Jonesville
259,The Cursed Legacy,2824210,The Cursed Legacy
260,Warstride Challenges,1608470,Warstride Challenges
261,Might  Magic03 Heroes03 VII,321960,Might & Magic® Heroes® VII
262,Total Conflict Resistance,1860510,Total Conflict: Resistance
263,Alaskan Road Truckers,849100,Alaskan Road Truckers
264,Gangs of Sherwood,1351000,Gangs of Sherwood
265,Sea of Thieves 2024 Edition,3326220,Game the Vote 2024 Red Edition
266,Bastide,1115450,Bastide
267,MotoGP6422,1710580,MotoGP™22
268,Unholy,817020,Unholy
269,RIDE 3,759740,RIDE 3
270,Ranch Simulator Build Hunt Farm,1638340,Cat Simulator : Animals on Farm
271,Returnal64,1649240,Returnal™
272,The Sinking City,750130,The Sinking City
273,TEKKEN 8,1778820,TEKKEN 8
274,ALTF4,1137460,ALTF4
275,The Thaumaturge,1684350,The Thaumaturge
276,Manic Mechanics,2569820,Manic Mechanics
277,Bus Simulator 21 Next Stop,976590,Bus Simulator 21
278,Last Whisper,2172320,Last Whisper
279,Witchs Doll,2892000,Witch's Doll
280,Astro Colony,1614550,Astro Colony
281,IfSunSets,2271930,IfSunSets
282,Sands of Aura,1119840,Sands of Aura
283,Mass Effect64 3 N7 Digital Deluxe Edition 2012,1238020,Mass Effect™ 3 N7 Digital Deluxe Edition (2012)
284,Loopmancer,1650810,Loopmancer
285,Shenmue III,878670,Shenmue III
286,Fireworks Mania  An Explosive Simulator,1079260,Fireworks Mania - An Explosive Simulator
287,MX vs ATV Legends,1205970,MX vs ATV Legends
288,Echo Point Nova,1836730,Echo Point Nova
289,The Last Oricru  Final Cut,1663640,The Last Oricru
290,Orcs Must Die 3,1522820,Orcs Must Die! 3
291,Panzer Corps 2,1072040,Panzer Corps 2
292,Boti Byteland Overclocked,2161050,Boti: Byteland Overclocked
293,New Tales from the Borderlands,1454970,New Tales from the Borderlands
294,Tribe Primitive Builder,1059900,Tribe: Primitive Builder
295,Soulslinger Envoy of Death,2429240,Soulslinger: Envoy of Death
296,Ancestors The Humankind Odyssey,536270,Ancestors: The Humankind Odyssey
297,GetsuFumaDen Undying Moon,1323470,GetsuFumaDen: Undying Moon
299,Ghostwire Tokyo,1475810,Ghostwire: Tokyo
300,Mass Effect 2 2010 Edition,2362420,Mass Effect 2 (2010) Edition
301,Citadel Forged with Fire,487120,Citadel: Forged with Fire
302,Driftland The Magic Revival,718650,Driftland: The Magic Revival
303,Togges,1550270,Togges
304,Aquanox Deep Descent,254370,Aquanox Deep Descent
305,Shadow Complex Remastered,385560,Shadow Complex Remastered
306,Estranged The Departure,582890,Estranged: The Departure
307,Psychonauts 2,607080,Psychonauts 2
308,Red Solstice 2 Survivors,768520,Red Solstice 2: Survivors
309,Motor Town Behind The Wheel,1369670,Motor Town: Behind The Wheel
310,Storage Hunter Simulator,1442430,Storage Hunter Simulator
311,ANVIL,1487390,ANVIL
312,Rogue Spirit,1554970,Rogue Spirit
313,Unknown 9 Awakening,1477940,Unknown 9: Awakening
314,SWORD ART ONLINE Last Recollection,1566880,SWORD ART ONLINE Last Recollection
315,Railroads Online,1696810,RAILROADS Online!
316,Zombie Builder Defense 2,1638950,Zombie Builder Defense 2
317,The Dark Pictures Anthology The Devil in Me,1567020,The Dark Pictures Anthology: The Devil in Me
318,Ratten Reich,1717250,Ratten Reich
319,The Axis Unseen,1807810,The Axis Unseen
320,Samurai Bringer,1851280,Samurai Bringer
321,SWORD ART ONLINE Fractured Daydream,1858630,SWORD ART ONLINE Fractured Daydream
322,Furnish Master,2004080,Furnish Master
323,Monster Jam64 Showdown,2350280,Monster Jam™ Showdown
324,Dead end Exit 8,2780270,Dead end Exit 8
325,Only Up 2,2653170,Only Up 2
326,VARIOUS DAYLIFE,1897050,VARIOUS DAYLIFE
327,SILENT HILL 2,2124490,SILENT HILL 2
328,ENTANGLED SOULS,2160840,ENTANGLED SOULS
329,Monster Jam Steel Titans,824280,Monster Jam Steel Titans
330,Absolute Tactics Daughters of Mercy,1636660,Absolute Tactics: Daughters of Mercy
331,Killsquad,910490,Killsquad
332,Call of the Sea,1042490,Call of the Sea
333,Song of Nunu A League of Legends Story,1333200,Song of Nunu: A League of Legends Story
334,Banishers Ghosts of New Eden,1493640,Banishers: Ghosts of New Eden
335,Soulstice,1602080,Soulstice
336,PolyRoyale,2085330,PolyRoyale
337,JOY OF PROGRAMMING  Software Engineering Simulator,2216770,JOY OF PROGRAMMING - Software Engineering Simulator
338,Train Sim World03 4,2362300,Train Sim World® 4
339,WitchIt,559650,Witch It
340,Weird West Definitive Edition,1097350,Weird West
341,Hunting Simulator,585080,Hunting Simulator
342,Paws and Soul,911510,Paws and Soul
343,TRAIL OUT,1664220,TRAIL OUT
344,Goat Simulator Remastered,1762930,Goat Simulator: Remastered
345,Grocery Store Simulator,2961880,Grocery Store Simulator
346,HumanitZ,1766060,HumanitZ
347,Industries of Titan,427940,Industries of Titan
348,ATLAS,834910,ATLAS
349,Scars Above,1196090,Scars Above
350,Animal Rescuer,1428780,Animal Rescuer
351,Granblue Fantasy Versus Rising,2157560,Granblue Fantasy Versus: Rising
352,Strayed Lights,2162020,Strayed Lights
353,VOIDCRISIS,1817560,VOIDCRISIS
354,Hellbreach Vegas,1691320,Hellbreach: Vegas
355,Zombie Soup,1095290,Zombie Soup
356,GUNDAM BREAKER 4,1672500,GUNDAM BREAKER 4
357,Finding Frankie,2597970,Finding Frankie
358,XCOM03 2,268500,XCOM® 2
359,FIGHTING EX LAYER,871200,FIGHTING EX LAYER
360,Backrooms Break,2248330,Backrooms Break
361,Protodroid DeLTA,1276740,Protodroid DeLTA
362,Gotham Knights,1496790,Gotham Knights
363,Achilles Legends Untold,1314000,Achilles: Legends Untold
364,Dungeon Defenders Awakened,1101190,Dungeon Defenders: Awakened
365,SCARLET NEXUS,775500,SCARLET NEXUS
366,Wizard of Legend 2,2193540,Wizard of Legend 2
367,Taxi Life A City Driving Simulator,1351240,Taxi Life: A City Driving Simulator
368,THE IDOLMSTER STARLIT SEASON,3411030,The Killer Pass: Season 1
369,Evil Nun The Broken Mask,1460220,Evil Nun: The Broken Mask
370,BURGLARS BAZAAR,2639690,BURGLAR'S BAZAAR
371,Harmonis the handmade kingdoms,2429540,Harmonis: the hand-made kingdoms
372,SD GUNDAM BATTLE ALLIANCE,824550,SD GUNDAM BATTLE ALLIANCE
373,The Smurfs 2  The Prisoner of the Green Stone,2397500,The Smurfs 2 - The Prisoner of the Green Stone
374,Jujutsu Kaisen Cursed Clash,1877020,Jujutsu Kaisen Cursed Clash
1241,AbioticFactor,427410,Abiotic Factor
1242,AceCombat7,502500,ACE COMBAT™ 7: SKIES UNKNOWN
1243,AncestorsLegacy,620590,Ancestors Legacy
1244,ARKSurvivalAscended,2399830,ARK: Survival Ascended
1245,ASTRONEER,361420,ASTRONEER
1246,AtomicHeart,668580,Atomic Heart
1247,AWayOut,1222700,A Way Out
1248,BlessUnleashed,1254120,Bless Unleashed
1249,Bodycam,2406770,Bodycam
1250,Borderlands3,397540,Borderlands 3
1251,Breathedge,738520,Breathedge
1252,BrightMemory_EP1,955050,Bright Memory
1253,CODEVEIN,678960,CODE VEIN
1254,CoralIsland,1158160,Coral Island
1255,Darksiders3,606280,Darksiders III
1256,Dauntless,331370,Dauntless
1257,DeadByDaylight,381210,Dead by Daylight
1258,DeepRockGalactic,548430,Deep Rock Galactic
1259,Desolate,671510,DESOLATE
1260,DRAGONBALLZKAKAROT,851850,DRAGON BALL Z: KAKAROT
1261,DreadHunger,1418630,Dread Hunger
1262,EmpiresoftheUndergrowth,463530,Empires of the Undergrowth
1263,EscapeTheBackrooms,1943950,Escape the Backrooms
1264,Foxhole,505460,Foxhole
1265,Ghostrunner,1139900,Ghostrunner
1266,Gollum,1265780,The Lord of the Rings: Gollum™
1267,Grounded,962130,Grounded
1268,Hellblade 2,2461850,Senua’s Saga: Hellblade II
1269,HellLetLoose,686810,Hell Let Loose
1270,HiFiRUSH,1817230,Hi-Fi RUSH
1271,HighOnLife,1583230,High On Life
1272,HogwartsLegacy,990080,Hogwarts Legacy
1273,Icarus,1149460,ICARUS
1274,ItTakesTwo,1426210,It Takes Two
1275,KenaBridgeofSpirits,1954200,Kena: Bridge of Spirits
1276,KurtzPel,844870,KurtzPel
1277,LiesofP,1627720,Lies of P
1278,LittleNightmaresII,424840,Little Nightmares
1279,LordsoftheFallen,1501750,Lords of the Fallen
1280,ManorLords,1363080,Manor Lords
1281,MarvelMidnightSuns,368260,Marvel's Midnight Suns
1282,MedievalDynasty,1129580,Medieval Dynasty
1283,MeetYourMaker,1194810,Meet Your Maker
1284,MistSurvival,914620,Mist Survival
1285,Mordhau,629760,MORDHAU
1286,MortalKombat1,1971870,Mortal Kombat 1
1287,MutantYearZero,760060,Mutant Year Zero: Road to Eden
1288,NarutoToBoruto,633230,NARUTO TO BORUTO: SHINOBI STRIKER
1289,Octopath_Traveler2,1971650,OCTOPATH TRAVELER II
1290,PacificDrive,1458140,Pacific Drive
1291,Palworld,1623730,Palworld
1292,PAYDAY3,1272080,PAYDAY 3
1293,PHtest,1010150,PASHTET
1294,PoliceSimulatorPatrolOfficers,997010,Police Simulator: Patrol Officers
1295,PoppyPlaytime,1721470,Poppy Playtime
1296,Quarters,1287180,Squares
1297,ReadyOrNot,1144200,Ready or Not
1298,Remnant,574180,Remnants
1299,RogueCompany,872200,Rogue Company
1300,sandstorm,548710,Sandstorm
1301,Satisfactory,526870,Satisfactory
1302,Scorn,698670,Scorn
1303,SCUM,513710,SCUM
1304,Sifu,2138710,Sifu
1305,SixDaysinFallujah,1548850,Six Days in Fallujah
1306,SoulcaliburVI,544750,SOULCALIBUR VI
1307,Squad,393380,Squad
1308,StarWarsJediSurvivor,1774580,STAR WARS Jedi: Survivor™
1309,StateofDecay2,495420,State of Decay 2: Juggernaut Edition
1310,Stray,1332010,Stray
1311,SystemShockRemake,482400,System Shock
1312,TalesofArise,740130,Tales of Arise
1313,TEKKEN7,389730,TEKKEN 7
1314,TheAscent,979690,The Ascent
1315,TheCallistoProtocol,1544020,The Callisto Protocol™
1316,TheCycle,868270,The Cycle: Frontier
1317,TheFirstDescendant,2074920,The First Descendant
1318,TheForeverWinter,2828860,The Forever Winter
1319,TheIsle,376210,The Isle
1320,TheKingofFightersXV,2285080,THE KING OF FIGHTERS XV Playtest
1321,TheOutlastTrials,1304930,The Outlast Trials
1322,ThroneandLiberty,2429640,THRONE AND LIBERTY
1323,TinyTinaWonderlands,1286680,Tiny Tina's Wonderlands
1324,TribesofMidgard,858820,Tribes of Midgard
1325,Tropico6,492720,Tropico 6
1326,Undecember,1549250,UNDECEMBER
1327,Vampyr,427290,Vampyr
1328,Voidtrain,1159690,Voidtrain
1329,Wayfinder,1171690,Wayfinder
1330,WeHappyFew,320240,We Happy Few
1331,WitchIt,559650,Witch It
1332,Wukong,2358720,Black Myth: Wukong
1336,FinalFantasyVIIRemake,239120,Final Fantasy III (3D Remake)
,,,
1337,chivalrymedievalwarfare,219640,Chivalry: Medieval Warfare
